#
# Using the ISO-4 standard of journal abbreviations
#
Abbreviated Name                               Complete Name
Accromath                                      Accromath
ACM Comput. Surv.                              ACM Computing Surveys
ACM SIGACT News                                ACM SIGACT News
Adv. Phys.                                     Advances in Physics
Algorithmica                                   Algorithmica
Am. Anthropol.                                 American Anthropologist
Am. J. Epidemiol.                              American Journal of Epidemiology
Am. J. Phys.                                   American Journal of Physics
Am. J. Psychiatry                              American Journal of Psychiatry
Am. J. Public Health                           American Journal of Public Health
Am. J. Sociol.                                 American Journal of Sociology
Am. Nat.                                       The American Naturalist
Am. Sci.                                       American Scientist
Am. Stat.                                      The American Statistician
Ann. Appl. Probab.                             The Annals of Applied Probability
Ann. Comb.                                     Annals of Combinatorics
Ann. Epidemiol.                                Annals of Epidemiology
Ann. Math. Stat.                               The Annals of Mathematical Statistics
Ann. N. Y. Acad. Sci.                          Annals of the New York Academy of Sciences
Ann. Stat.                                     The Annals of Statistics
Annu. Rev. Condens. Matter Phys.               Annual Review of Condensed Matter Physics
Annu. Rev. Control Robot. Auton. Syst.         Annual Review of Control, Robotics, and Autonomous Systems
Annu. Rev. Ecol. Evol. Syst                    Annual Review of Ecology, Evolution, and Systematics
Annu. Rev. Neurosci.                           Annual Review of Neuroscience
Annu. Rev. Psychol.                            Annual Review of Psychology
Annu. Rev. Stat. Appl.                         Annual Review of Statistics and Its Application
Appl. Math. Comput.                            Applied Mathematics and Computation
Appl. Netw. Sci.                               Applied Network Science
Appl. Sci.                                     Applied Sciences
Arch. Gen. Psychiatry                          Archives of general psychiatry
arXiv                                          arXiv
Astron. and Astrophys.                         Astronomy and Astrophysics
Austral Ecol.                                  Austral Ecology
Autism                                         Autism
Bayesian Anal.                                 Bayesian Analysis
Behav. Ecol.                                   Behavioral Ecology
Behav. res. meth. instrum. comput.             Behavior Research Methods, Instruments, & Computers
Bioinformatics                                 Bioinformatics
Biol. Cybern.                                  Biological Cybernetics
Biol. Psychiatry                               Biological psychiatry
Biol. Psychiatry                               Biological Psychiatry
Biol. Psychiatry Cogn. Neurosci. Neuroimaging  Biological Psychiatry: Cognitive Neuroscience and Neuroimaging
Biology                                        Biology
Biometrika                                     Biometrika
bioRxiv                                        bioRxiv
BMC Infect. Dis.                               BMC Infectious Diseases
BMC Med.                                       BMC Medicine
BMC Syst. Biol.                                BMC Systems Biology
BMJ                                            The BMJ
Br. J. Pharmacol.                              British Journal of Pharmacology
Br. J. Philos. Sci.                            The British Journal for the Philosophy of Science
Br. J. Psychiatry                              British Journal of Psychiatry
Brain Connect.                                 Brain Connectivity
Brain Sci.                                     Brain Sciences
Bull. Am. Math. Soc.                           Bulletin of the American Mathematical Society
Bull. Math. Biol.                              Bulletin of Mathematical Biology
Bull. Sci. Technol. Soc.                       Bulletin of Science, Technology & Society
C. R. Phys.                                    Comptes Rendus Physique
Calif. L. Rev.                                 California Law Review
Can. J. Philos.                                Canadian Journal of Philosophy
Can. J. Psychiatry                             The Canadian Journal of Psychiatry
Cell                                           Cell
Cell Syst.                                     Cell Systems
Cereb. Cortex                                  Cerebral cortex
Cereb. Cortex                                  Cerebral Cortex
Chaos                                          Chaos: An Interdisciplinary Journal of Nonlinear Science
Chaos                                          Chaos
Chaos Solitons Fractals                        Chaos, Solitons & Fractals
Chem. Eng. Sci.                                Chemical Engineering Science
Chem. Phys.                                    Chemical Physics
Clin. Infect. Dis.                             Clinical Infectious Diseases
CMJ                                            The College Mathematics Journal
Cognition                                      Cognition
Comb. Probab. Comput.                          Combinatorics, Probability and Computing
Combinatorica                                  Combinatorica
Comm. Statist. Simulation Comput.              Communications in Statistics - Simulation and Computation
Commun. ACM                                    Communications of the ACM
Commun. Biol.                                  Communications Biology
Commun. Phys.                                  Communications Physics
Complexity                                     Complexity
Comput. Appl. Math.                            Computational and Applied Mathematics
