#
# Using the ISO-4 standard of journal abbreviations
#
Abbreviated Name                     Complete Name
Accromath                            Accromath
ACM Comput. Surv.                    ACM Computing Surveys
Am. J. Epidemiol.                    American Journal of Epidemiology
Am. J. Phys.                         American Journal of Physics
Am. J. Public Health                 American Journal of Public Health
Am. J. Sociol.                       American Journal of Sociology
Am. Nat.                             The American Naturalist
Am. Sci.                             American Scientist
Am. Stat.                            The American Statistician
Ann. Appl. Probab.                   The Annals of Applied Probability
Ann. Comb.                           Annals of Combinatorics
Ann. Math. Stat.                     The Annals of Mathematical Statistics
Ann. N. Y. Acad. Sci.                Annals of the New York Academy of Sciences
Ann. Stat.                           The Annals of Statistics
Annu. Rev. Neurosci.                 Annual Review of Neuroscience
Annu. Rev. Psychol.                  Annual Review of Psychology
Annu. Rev. Stat. Appl.               Annual Review of Statistics and Its Application
Appl. Math. Comput.                  Applied Mathematics and Computation
Appl. Netw. Sci.                     Applied Network Science
Appl. Sci.                           Applied Sciences
arXiv                                arXiv
Bayesian Anal.                       Bayesian Analysis
Behav. res. meth. instrum. comput.   Behavior Research Methods, Instruments, & Computers
Bioinformatics                       Bioinformatics
Biol. Cybern.                        Biological Cybernetics
Biology                              Biology
Biometrika                           Biometrika
bioRxiv                              bioRxiv
BMC Infect. Dis.                     BMC Infectious Diseases
BMC Med.                             BMC Medicine
BMJ                                  The BMJ
Br. J. Philos. Sci.                  The British Journal for the Philosophy of Science
Brain Sci.                           Brain Sciences
Bull. Am. Math. Soc.                 Bulletin of the American Mathematical Society
Bull. Math. Biol.                    Bulletin of Mathematical Biology
Bull. Sci. Technol. Soc.             Bulletin of Science, Technology & Society
C. R. Phys.                          Comptes Rendus Physique
Calif. L. Rev.                       California Law Review
Can. J. Philos.                      Canadian Journal of Philosophy
Cell                                 Cell
Chaos                                Chaos: An Interdisciplinary Journal of Nonlinear Science
Chaos                                Chaos
Chaos Solitons Fractals              Chaos, Solitons & Fractals
Clin. Infect. Dis.                   Clinical Infectious Diseases
CMJ                                  The College Mathematics Journal
Comb. Probab. Comput.                Combinatorics, Probability and Computing
Commun. Phys.                        Communications Physics
Complexity                           Complexity
Comput. Phys.                        Computers in Physics
Comput. Phys. Commun.                Computer Physics Communications
Comput. Sci. Eng.                    Computing in Science & Engineering
Conn. L. Rev.                        Connecticut Law Review
Contemp. Phys.                       Contemporary Physics
Curr. Opin. Neurobiol.               Current Opinion in Neurobiology
Ecography                            Ecography
Ecol. Complex.                       Ecological Complexity
Ecol. Lett.                          Ecology Letters
Ecology                              Ecology
Emerging Infect. Dis.                Emerging Infectious Diseases
Epidemics                            Epidemics
Epidemiol. Infect.                   Epidemiology and Infection
EPJ Data Sci.                        EPJ Data Science
EPL                                  EPL (Europhysics Letters)
Ethics Inf. Technol.                 Ethics and Information Technology
Eur. J. Phys.                        European Journal of Physics
Eur. Phys. J. B                      The European Physical Journal B
Eurosurveillance                     Eurosurveillance
Front. Artif. Intell.                Frontiers in Artificial Intelligence
Front. Phys.                         Frontiers in Physics
Front. Public Health                 Frontiers in Public Health
Genome Biol.                         Genome Biology
Glob. Health                         Globalization and Health
IEEE Trans. Comput.                  IEEE Transactions on Computers
IEEE Trans. Inf. Theory              IEEE Transactions on Information Theory
IEEE/ACM Trans. Netw.                IEEE/ACM Transactions on Networking
Infect. Dis. Model.                  Infectious Disease Modelling
Int. J. Environ. Res. Public Health  International Journal of Environmental Research and Public Health
Int. J. Infect. Dis.                 International Journal of Infectious Diseases
Int. J. Theor. Phys.                 International Journal of Theoretical Physics
Int. Stat. Rev.                      International Statistical Review
Interdiscip. Perspect. Infect. Dis.  Interdisciplinary Perspectives on Infectious Diseases
iScience                             iScience
J. Am. Stat. Assoc.                  Journal of the American Statistical Association
J. Appl. Probab.                     Journal of Applied Probability
J. Bus. Res.                         Journal of Business Research
